; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
7.514531,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5145398,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5145744,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5325674,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5325762,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5325848,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5325934,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5326108,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5326282,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5326368,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5326454,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5326542,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5326628,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5326974,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5327062,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5327234,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5327322,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5327408,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5327582,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5327842,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5327928,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5328102,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5328188,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5328274,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5328362,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5328448,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5328622,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5328708,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5328794,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5328968,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5329054,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
